title,author,date,rating,comments,content_type,link,data_key
Super Mario Bros — Конец спидранов или только рассвет?,ItzFallenFly,Сегодня,+3,0,Блог,https://stopgame.ru/blogs/topic/119439/super_mario_bros_konec_spidranov_ili_tolko_rassvet,33bf4816d0fd7534e521fc5d1c23b2a0
Почти «Gears of War» и не совсем «Uncharted». Обзор игры «Damnation»,Николай Дакелин,Сегодня,+10,3,Обзоры и рассуждения,https://stopgame.ru/blogs/topic/119410/pochti_gears_of_war_i_ne_sovsem_uncharted_review_igry_damnation,f2cae170d7abb647c414eb2340d323c9
Cloverpit — средний рогалик без глубины,Иван Яковлев,Вчера,-9,0,Видео,https://stopgame.ru/blogs/topic/119438/cloverpit_sredniy_rogalik_bez_glubiny,db2f60ee9ec177ca9f1b50906b8d9169
Как я 34 игры за 2 года прошла (Часть 6: Resident Evil 4),Александра Штейнберг,Вчера,+10,9,Обзоры и рассуждения,https://stopgame.ru/blogs/topic/119437/kak_ya_34_igry_za_2_goda_proshla_chast_6_resident_evil_4,de930fcbffab79977e9af97a7b500565
Misery…,IC,Вчера,0,2,Блог,https://stopgame.ru/blogs/topic/119431/misery,36b044840d98ba3728600ed92c6f118b
Мультизадачность как игровая механика,Sapies,Вчера,+11,5,Gamedev,https://stopgame.ru/blogs/topic/118228/multizadachnost_kak_igrovaya_mehanika,55cbf78d75d979b3e39559ee5e95e356
Steam Deck — всё ещё лучшая портативка?,Улетный гусь,27 октября,+3,38,Блог,https://stopgame.ru/blogs/topic/119423/steam_deck_vse_esche_luchshaya_portativka,7b369bf954e1293c94cd689fd1e9bea8
Такой противоречивый Silent Hill ƒ,Кардинал Кардиналыч,27 октября,+18,15,Блог,https://stopgame.ru/blogs/topic/119419/takoy_protivorechivyy_silent_hill,8de2da8a195b5fe2f3eabaa4de76fb27
Ультимативный гайд по HDR,PYRO_,27 октября,+27,18,Обзоры и рассуждения,https://stopgame.ru/blogs/topic/119422/ultimativnyy_gayd_po_hdr,5f0d2e124392d4394b9beff1a7a3794d
It Takes Two: игра для вас и вашей второй половинки,Krivoshein_Niko,26 октября,+1,4,Обзоры и рассуждения,https://stopgame.ru/blogs/topic/119420/it_takes_two_igra_dlya_vas_i_vashey_vtoroy_polovinki,535fc62ca98bbc2ae6247326d3539b9a
"Gargantia: технофашизм, кальмары и классовая борьба",Николай Сокуров,26 октября,+2,1,Кино и сериалы,https://stopgame.ru/blogs/topic/119417/gargantia_tehnofashizm_kalmary_i_klassovaya_borba,84a7913c90a63a5d299b83ac77176a3e
И мертвые с косами стоят: как отмечают хэллоуин в видеоиграх,nickolaeus,25 октября,+23,33,Общеигровое,https://stopgame.ru/blogs/topic/119418/i_mertvye_s_kosami_stoyat_kak_otmechayut_hellouin_v_videoigrah,82ea930f52cc3e97695f0e98aa1c3767
«Drakensang: The River of Time»: «Неправильный» варвар и тайна шахты гномов.,Doc old school,25 октября,+2,0,Блог,https://stopgame.ru/blogs/topic/119416/drakensang_the_river_of_time_nepravilnyy_varvar_i_tayna_shahty_gnomov,da6088ce70860d40de3a2498322abbfd
«Drakensang: The River of Time» — Гном со скалкой,Doc old school,25 октября,+3,0,Блог,https://stopgame.ru/blogs/topic/119415/drakensang_the_river_of_time_gnom_so_skalkoy,03236fb82134de054fb4bb47e43b3201
Aliens: чужие для игр?,Ded_Dementor,25 октября,+2,11,Обзоры и рассуждения,https://stopgame.ru/blogs/topic/119414/aliens_chuzhie_dlya_igr,27e885b3f75cf728e3e4ce876497f12d
The evil within,DovaAVI,25 октября,+2,2,Блог,https://stopgame.ru/blogs/topic/119413/the_evil_within,a525fad63de80649d8c88e090b3ddfaa
Психологический портрет Се Ляня: Путь к милосердию и стойкости.,DoSbi_,25 октября,+1,3,Блог,https://stopgame.ru/blogs/topic/119409/psihologicheskiy_portret_se_lyanya_put_k_miloserdiyu_i_stoykosti,d9af9bb72aa21afa3baf416dfbf068d6
Как спидраннерство — стало моей любимой деятельностью?,ItzFallenFly,25 октября,+16,12,Блог,https://stopgame.ru/blogs/topic/119378/kak_spidrannerstvo_stalo_moey_lyubimoy_deyatelnostyu,a5b491e923ff5b6f47bd270b6608c480
